SOA,SOA Code,All usual residents: Aged 16+ years,Single (never married or never registered a same-sex civil partnership): Aged 16+ years,Married: Aged 16+ years,In a registered same-sex civil partnership: Aged 16+ years,Separated (but still legally married or still legally in a same-sex civil partnership): Aged 16+ years,Divorced or formerly in a same-sex civil partnership which is now legally dissolved: Aged 16+ years,Widowed or surviving partner from a same-sex civil partnership: Aged 16+ years,Single (never married or never registered a same-sex civil partnership): Aged 16+ years (%),Married: Aged 16+ years (%),In a registered same-sex civil partnership: Aged 16+ years (%),Separated (but still legally married or still legally in a same-sex civil partnership): Aged 16+ years (%),Divorced or formerly in a same-sex civil partnership which is now legally dissolved: Aged 16+ years (%),Widowed or surviving partner from a same-sex civil partnership: Aged 16+ years (%)
Glen 1,95BB12S1,1115,445,438,0,49,115,68,39.91,39.28,0,4.39,10.31,6.1
Glen 2,95BB12S2,1062,276,650,0,28,51,57,25.99,61.21,0,2.64,4.8,5.37
Gregstown 1,95BB13S1,1050,314,581,0,38,79,38,29.9,55.33,0,3.62,7.52,3.62
Gregstown 2,95BB13S2,1197,358,635,0,39,79,86,29.91,53.05,0,3.26,6.6,7.18
Gregstown 3,95BB13S3,1201,325,731,2,37,63,43,27.06,60.87,0.17,3.08,5.25,3.58
Killinchy 1,95BB14S1,1234,316,769,0,19,52,78,25.61,62.32,0,1.54,4.21,6.32
Killinchy 2,95BB14S2,1299,345,732,6,25,79,112,26.56,56.35,0.46,1.92,6.08,8.62
Kircubbin 1,95BB15S1,1535,419,926,1,43,63,83,27.3,60.33,0.07,2.8,4.1,5.41
Kircubbin 2,95BB15S2,1164,434,527,1,39,80,83,37.29,45.27,0.09,3.35,6.87,7.13
Lisbane 1,95BB16S1,1281,345,812,2,21,34,67,26.93,63.39,0.16,1.64,2.65,5.23
Lisbane 2,95BB16S2,1290,287,832,0,23,60,88,22.25,64.5,0,1.78,4.65,6.82
Loughries 1,95BB17S1,1352,398,710,0,66,108,70,29.44,52.51,0,4.88,7.99,5.18
Loughries 2,95BB17S2,1359,395,715,0,58,85,106,29.07,52.61,0,4.27,6.25,7.8
Millisle 1,95BB18S1,1328,384,649,2,83,114,96,28.92,48.87,0.15,6.25,8.58,7.23
Millisle 2,95BB18S2,1980,470,1218,0,57,96,139,23.74,61.52,0,2.88,4.85,7.02
Movilla 1,95BB19S1,1318,365,709,1,38,76,129,27.69,53.79,0.08,2.88,5.77,9.79
Movilla 2,95BB19S2,1338,340,873,0,29,51,45,25.41,65.25,0,2.17,3.81,3.36
Movilla 3,95BB19S3,1063,286,654,0,33,49,41,26.9,61.52,0,3.1,4.61,3.86
Portaferry 1,95BB20S1,1499,489,798,0,36,56,120,32.62,53.24,0,2.4,3.74,8.01
Portaferry 2,95BB20S2,1230,463,546,0,56,69,96,37.64,44.39,0,4.55,5.61,7.8
Portavogie 1,95BB21S1,1853,498,1044,0,63,115,133,26.88,56.34,0,3.4,6.21,7.18
Portavogie 2,95BB21S2,1818,478,1083,0,53,87,117,26.29,59.57,0,2.92,4.79,6.44
Scrabo 1,95BB22S1,1145,374,563,3,62,93,50,32.66,49.17,0.26,5.41,8.12,4.37
Scrabo 2,95BB22S2,1093,421,412,0,72,111,77,38.52,37.69,0,6.59,10.16,7.04
Whitespots 1,95BB23S1,1303,309,823,6,28,50,87,23.71,63.16,0.46,2.15,3.84,6.68
Whitespots 2,95BB23S2,1228,338,732,0,24,54,80,27.52,59.61,0,1.95,4.4,6.51
Abbey Park,95CC01W1,2046,826,817,1,102,121,179,40.37,39.93,0.05,4.99,5.91,8.75
Ballymartrim,95CC02W1,2140,789,1133,2,51,52,113,36.87,52.94,0.09,2.38,2.43,5.28
Callan Bridge,95CC03W1,2141,946,739,0,158,144,154,44.18,34.52,0,7.38,6.73,7.19
Carrigatuke,95CC04W1,1879,703,949,0,51,41,135,37.41,50.51,0,2.71,2.18,7.18
Charlemont,95CC05W1,2112,705,1124,2,72,64,145,33.38,53.22,0.09,3.41,3.03,6.87
Demesne 1,95CC06S1,1173,346,678,0,26,47,76,29.5,57.8,0,2.22,4.01,6.48
Demesne 2,95CC06S2,1013,343,490,0,42,56,82,33.86,48.37,0,4.15,5.53,8.09
Derrynoose,95CC07W1,2554,973,1316,0,68,75,122,38.1,51.53,0,2.66,2.94,4.78
Downs,95CC08W1,1988,819,846,0,88,84,151,41.2,42.56,0,4.43,4.23,7.6
Hamiltonsbawn 1,95CC09S1,1164,337,723,0,16,22,66,28.95,62.11,0,1.37,1.89,5.67
Hamiltonsbawn 2,95CC09S2,1466,460,850,0,43,45,68,31.38,57.98,0,2.93,3.07,4.64
Hockley,95CC10W1,2101,651,1155,0,41,83,171,30.99,54.97,0,1.95,3.95,8.14
Keady,95CC11W1,1482,579,618,0,75,79,131,39.07,41.7,0,5.06,5.33,8.84
Killeen,95CC12W1,2119,689,1188,0,55,60,127,32.52,56.06,0,2.6,2.83,5.99
Killylea,95CC13W1,1923,652,1071,3,44,54,99,33.91,55.69,0.16,2.29,2.81,5.15
Laurelvale,95CC14W1,2328,630,1367,0,84,97,150,27.06,58.72,0,3.61,4.17,6.44
Loughgall,95CC15W1,2228,733,1216,0,60,68,151,32.9,54.58,0,2.69,3.05,6.78
Markethill,95CC16W1,2155,687,1118,0,86,107,157,31.88,51.88,0,3.99,4.97,7.29
Milford,95CC17W1,2117,738,1163,0,50,56,110,34.86,54.94,0,2.36,2.65,5.2
Observatory,95CC18W1,1899,620,909,4,71,122,173,32.65,47.87,0.21,3.74,6.42,9.11
Poyntz Pass,95CC19W1,2070,637,1167,2,43,91,130,30.77,56.38,0.1,2.08,4.4,6.28
Rich Hill 1,95CC20S1,997,250,605,0,30,45,67,25.08,60.68,0,3.01,4.51,6.72
Rich Hill 2,95CC20S2,1345,442,695,2,35,85,86,32.86,51.67,0.15,2.6,6.32,6.39
Tandragee,95CC21W1,2289,683,1240,1,67,146,152,29.84,54.17,0.04,2.93,6.38,6.64
The Mall,95CC22W1,1466,534,547,0,72,134,179,36.43,37.31,0,4.91,9.14,12.21
Academy,95DD01W1,1765,450,1051,0,44,79,141,25.5,59.55,0,2.49,4.48,7.99
Ahoghill 1,95DD02S1,1182,343,617,2,64,70,86,29.02,52.2,0.17,5.41,5.92,7.28
Ahoghill 2,95DD02S2,1859,525,1085,0,63,87,99,28.24,58.36,0,3.39,4.68,5.33
Ardeevin,95DD03W1,2779,796,1567,3,105,134,174,28.64,56.39,0.11,3.78,4.82,6.26
Ballee,95DD04W1,1512,580,518,1,112,160,141,38.36,34.26,0.07,7.41,10.58,9.33
Ballykeel,95DD05W1,1330,535,532,0,76,120,67,40.23,40,0,5.71,9.02,5.04
Ballyloughan,95DD06W1,2216,566,1302,2,42,80,224,25.54,58.75,0.09,1.9,3.61,10.11
Broughshane 1,95DD07S1,1320,360,742,2,50,72,94,27.27,56.21,0.15,3.79,5.45,7.12
Broughshane 2,95DD07S2,1390,380,769,1,58,65,117,27.34,55.32,0.07,4.17,4.68,8.42
Castle Demesne,95DD08W1,1842,821,525,1,97,200,198,44.57,28.5,0.05,5.27,10.86,10.75
Craigywarren,95DD09W1,2059,551,1273,4,42,64,125,26.76,61.83,0.19,2.04,3.11,6.07
Cullybackey,95DD10W1,2297,750,1136,0,94,128,189,32.65,49.46,0,4.09,5.57,8.23
Dunclug,95DD11W1,1718,742,603,1,102,176,94,43.19,35.1,0.06,5.94,10.24,5.47
Dunminning,95DD12W1,2069,576,1270,2,28,66,127,27.84,61.38,0.1,1.35,3.19,6.14
Fair Green,95DD13W1,1435,553,570,2,86,95,129,38.54,39.72,0.14,5.99,6.62,8.99
Galgorm 1,95DD14S1,1252,343,718,0,44,65,82,27.4,57.35,0,3.51,5.19,6.55
Galgorm 2,95DD14S2,1348,341,857,0,40,46,64,25.3,63.58,0,2.97,3.41,4.75
Glenravel,95DD15W1,2606,890,1429,0,66,102,119,34.15,54.83,0,2.53,3.91,4.57
Glenwhirry,95DD16W1,2368,697,1403,2,55,84,127,29.43,59.25,0.08,2.32,3.55,5.36
Grange,95DD17W1,2658,816,1605,0,49,70,118,30.7,60.38,0,1.84,2.63,4.44
Harryville,95DD18W1,1635,531,742,0,76,140,146,32.48,45.38,0,4.65,8.56,8.93
Kells 1,95DD19S1,1472,424,763,1,72,94,118,28.8,51.83,0.07,4.89,6.39,8.02
Kells 2,95DD19S2,1189,290,740,0,40,50,69,24.39,62.24,0,3.36,4.21,5.8
Moat,95DD20W1,1442,559,500,2,87,179,115,38.77,34.67,0.14,6.03,12.41,7.98
Park,95DD21W1,1744,626,830,2,70,90,126,35.89,47.59,0.11,4.01,5.16,7.22
Portglenone 1,95DD22S1,1275,430,698,2,29,46,70,33.73,54.75,0.16,2.27,3.61,5.49
Portglenone 2,95DD22S2,1244,391,669,0,36,62,86,31.43,53.78,0,2.89,4.98,6.91
Slemish,95DD23W1,2027,589,1187,0,33,81,137,29.06,58.56,0,1.63,4,6.76
Summerfield,95DD24W1,2152,717,1120,1,87,102,125,33.32,52.04,0.05,4.04,4.74,5.81
Ballyhoe and Corkey,95EE01W1,1421,493,791,4,32,35,66,34.69,55.67,0.28,2.25,2.46,4.64
Benvardin,95EE02W1,1644,530,890,2,55,80,87,32.24,54.14,0.12,3.35,4.87,5.29
Carnany,95EE03W1,1605,522,797,1,46,135,104,32.52,49.66,0.06,2.87,8.41,6.48
Clogh Mills,95EE04W1,1602,538,827,0,60,79,98,33.58,51.62,0,3.75,4.93,6.12
Dervock,95EE05W1,1243,368,670,0,41,71,93,29.61,53.9,0,3.3,5.71,7.48
Dunloy,95EE06W1,1700,610,915,0,45,50,80,35.88,53.82,0,2.65,2.94,4.71
Fairhill,95EE07W1,1407,423,724,0,47,97,116,30.06,51.46,0,3.34,6.89,8.24
Glebe,95EE08W1,1457,447,733,0,43,84,150,30.68,50.31,0,2.95,5.77,10.3
Killoquin Lower,95EE09W1,1500,510,800,0,29,56,105,34,53.33,0,1.93,3.73,7
Killoquin Upper,95EE10W1,1388,489,736,2,43,46,72,35.23,53.03,0.14,3.1,3.31,5.19
Knockaholet,95EE11W1,1339,437,737,2,35,52,76,32.64,55.04,0.15,2.61,3.88,5.68
Newhill,95EE12W1,1968,722,861,3,88,190,104,36.69,43.75,0.15,4.47,9.65,5.28
Route,95EE13W1,1280,423,581,1,58,82,135,33.05,45.39,0.08,4.53,6.41,10.55
Seacon,95EE14W1,2083,623,1158,1,70,112,119,29.91,55.59,0.05,3.36,5.38,5.71
Stranocum,95EE15W1,1357,430,772,0,29,46,80,31.69,56.89,0,2.14,3.39,5.9
The Vow,95EE16W1,1614,476,931,0,48,72,87,29.49,57.68,0,2.97,4.46,5.39
Ballydown 1,95FF01S1,1671,488,976,0,58,60,89,29.2,58.41,0,3.47,3.59,5.33
Ballydown 2,95FF01S2,1989,621,1147,3,52,98,68,31.22,57.67,0.15,2.61,4.93,3.42
Ballyward,95FF02W1,2105,656,1221,0,48,46,134,31.16,58,0,2.28,2.19,6.37
Banbridge West,95FF03W1,2304,840,1145,0,83,128,108,36.46,49.7,0,3.6,5.56,4.69
Bannside,95FF04W1,2038,612,1229,4,29,51,113,30.03,60.3,0.2,1.42,2.5,5.54
Dromore North,95FF05W1,2045,658,994,2,106,126,159,32.18,48.61,0.1,5.18,6.16,7.78
Dromore South 1,95FF06S1,1586,471,863,2,43,87,120,29.7,54.41,0.13,2.71,5.49,7.57
Dromore South 2,95FF06S2,1507,408,933,0,49,66,51,27.07,61.91,0,3.25,4.38,3.38
Edenderry,95FF07W1,2091,780,868,0,106,208,129,37.3,41.51,0,5.07,9.95,6.17
Fort,95FF08W1,1941,616,943,0,66,128,188,31.74,48.58,0,3.4,6.59,9.69
Gilford,95FF09W1,1935,636,976,0,85,119,119,32.87,50.44,0,4.39,6.15,6.15
Gransha,95FF10W1,2625,805,1532,4,59,122,103,30.67,58.36,0.15,2.25,4.65,3.92
Katesbridge,95FF11W1,2014,591,1213,3,35,55,117,29.34,60.23,0.15,1.74,2.73,5.81
Lawrencetown,95FF12W1,2184,750,1157,0,61,92,124,34.34,52.98,0,2.79,4.21,5.68
Loughbrickland,95FF13W1,2087,626,1195,1,50,98,117,30,57.26,0.05,2.4,4.7,5.61
Quilly,95FF14W1,1917,483,1229,2,27,60,116,25.2,64.11,0.1,1.41,3.13,6.05
Rathfriland,95FF15W1,2144,741,956,0,102,136,209,34.56,44.59,0,4.76,6.34,9.75
Seapatrick,95FF16W1,1910,537,1056,0,64,101,152,28.12,55.29,0,3.35,5.29,7.96
The Cut,95FF17W1,1434,535,566,4,83,114,132,37.31,39.47,0.28,5.79,7.95,9.21
Andersonstown 1,95GG01S1,1507,557,642,0,76,67,165,36.96,42.6,0,5.04,4.45,10.95
Andersonstown 2,95GG01S2,1293,507,437,0,93,66,190,39.21,33.8,0,7.19,5.1,14.69
Andersonstown 3,95GG01S3,1351,582,503,0,72,60,134,43.08,37.23,0,5.33,4.44,9.92
Ardoyne 1,95GG02S1,1326,677,299,0,135,93,122,51.06,22.55,0,10.18,7.01,9.2
Ardoyne 2,95GG02S2,1469,793,316,0,145,98,117,53.98,21.51,0,9.87,6.67,7.96
Ardoyne 3,95GG02S3,1659,871,318,2,192,136,140,52.5,19.17,0.12,11.57,8.2,8.44
Ballyhackamore 1,95GG03S1,1603,511,817,7,52,88,128,31.88,50.97,0.44,3.24,5.49,7.99
Ballyhackamore 2,95GG03S2,1520,511,781,4,31,78,115,33.62,51.38,0.26,2.04,5.13,7.57
Ballyhackamore 3,95GG03S3,1774,734,680,4,77,157,122,41.38,38.33,0.23,4.34,8.85,6.88
Ballymacarrett 1,95GG04S1,1356,663,332,2,126,112,121,48.89,24.48,0.15,9.29,8.26,8.92
Ballymacarrett 2,95GG04S2,1151,578,274,0,119,92,88,50.22,23.81,0,10.34,7.99,7.65
Ballymacarrett 3,95GG04S3,1355,636,353,3,81,156,126,46.94,26.05,0.22,5.98,11.51,9.3
Ballynafeigh 1,95GG05S1,1514,850,443,3,58,90,70,56.14,29.26,0.2,3.83,5.94,4.62
Ballynafeigh 2,95GG05S2,1721,1023,485,7,56,84,66,59.44,28.18,0.41,3.25,4.88,3.83
Ballynafeigh 3,95GG05S3,1808,1180,361,2,74,110,81,65.27,19.97,0.11,4.09,6.08,4.48
Ballysillan 1,95GG06S1,1529,653,548,2,79,109,138,42.71,35.84,0.13,5.17,7.13,9.03
Ballysillan 2,95GG06S2,1486,572,589,9,69,107,140,38.49,39.64,0.61,4.64,7.2,9.42
Ballysillan 3,95GG06S3,1488,542,694,0,64,87,101,36.42,46.64,0,4.3,5.85,6.79
Beechmount 1,95GG07S1,1487,722,472,1,95,89,108,48.55,31.74,0.07,6.39,5.99,7.26
Beechmount 2,95GG07S2,1399,746,332,4,129,95,93,53.32,23.73,0.29,9.22,6.79,6.65
Beechmount 3,95GG07S3,1356,646,412,0,132,74,92,47.64,30.38,0,9.73,5.46,6.78
Bellevue 1,95GG08S1,1113,360,582,2,48,39,82,32.35,52.29,0.18,4.31,3.5,7.37
Bellevue 2,95GG08S2,1371,630,425,8,98,111,99,45.95,31,0.58,7.15,8.1,7.22
Bellevue 3,95GG08S3,1386,629,495,3,90,95,74,45.38,35.71,0.22,6.49,6.85,5.34
Belmont 1,95GG09S1,1721,429,1020,2,38,79,153,24.93,59.27,0.12,2.21,4.59,8.89
Belmont 2,95GG09S2,1635,542,797,0,51,90,155,33.15,48.75,0,3.12,5.5,9.48
Belmont 3,95GG09S3,1662,688,602,4,83,170,115,41.4,36.22,0.24,4.99,10.23,6.92
Blackstaff 1,95GG10S1,1568,843,406,2,79,138,100,53.76,25.89,0.13,5.04,8.8,6.38
Blackstaff 2,95GG10S2,1820,1055,399,2,96,149,119,57.97,21.92,0.11,5.27,8.19,6.54
Bloomfield 1 (Belfast LGD),95GG11S1,1562,800,404,2,88,146,122,51.22,25.86,0.13,5.63,9.35,7.81
Bloomfield 2 (Belfast LGD),95GG11S2,1370,522,635,6,35,80,92,38.1,46.35,0.44,2.55,5.84,6.72
Bloomfield 3 (Belfast LGD),95GG11S3,1612,761,492,4,79,159,117,47.21,30.52,0.25,4.9,9.86,7.26
Botanic 1,95GG12S1,1453,1235,149,0,25,33,11,85,10.25,0,1.72,2.27,0.76
Botanic 2,95GG12S2,1855,1650,100,3,27,46,29,88.95,5.39,0.16,1.46,2.48,1.56
Botanic 3,95GG12S3,1394,1161,153,2,18,35,25,83.29,10.98,0.14,1.29,2.51,1.79
Botanic 4,95GG12S4,1636,1419,135,2,23,50,7,86.74,8.25,0.12,1.41,3.06,0.43
Botanic 5,95GG12S5,1733,1079,314,5,102,147,86,62.26,18.12,0.29,5.89,8.48,4.96
Castleview 1,95GG13S1,1089,434,371,0,70,98,116,39.85,34.07,0,6.43,9,10.65
Castleview 2,95GG13S2,1360,464,684,1,37,73,101,34.12,50.29,0.07,2.72,5.37,7.43
Castleview 3,95GG13S3,1371,511,560,5,70,103,122,37.27,40.85,0.36,5.11,7.51,8.9
Cavehill 1,95GG14S1,1292,397,707,0,44,45,99,30.73,54.72,0,3.41,3.48,7.66
Cavehill 2,95GG14S2,1294,434,721,0,30,41,68,33.54,55.72,0,2.32,3.17,5.26
Cavehill 3,95GG14S3,1304,429,698,2,40,50,85,32.9,53.53,0.15,3.07,3.83,6.52
Cherryvalley 1,95GG15S1,1610,366,956,2,25,51,210,22.73,59.38,0.12,1.55,3.17,13.04
Cherryvalley 2,95GG15S2,1677,511,863,0,40,110,153,30.47,51.46,0,2.39,6.56,9.12
Cherryvalley 3,95GG15S3,1614,515,702,3,52,151,191,31.91,43.49,0.19,3.22,9.36,11.83
Chichester Park 1,95GG16S1,1596,807,485,6,112,97,89,50.56,30.39,0.38,7.02,6.08,5.58
Chichester Park 2,95GG16S2,1581,744,526,10,87,95,119,47.06,33.27,0.63,5.5,6.01,7.53
Chichester Park 3,95GG16S3,1166,434,530,4,58,63,77,37.22,45.45,0.34,4.97,5.4,6.6
Cliftonville 1,95GG17S1,1450,689,488,3,105,72,93,47.52,33.66,0.21,7.24,4.97,6.41
Cliftonville 2,95GG17S2,1328,499,603,0,66,59,101,37.58,45.41,0,4.97,4.44,7.61
Cliftonville 3,95GG17S3,1270,506,451,3,97,104,109,39.84,35.51,0.24,7.64,8.19,8.58
Clonard 1,95GG18S1,1905,1000,427,1,184,140,153,52.49,22.41,0.05,9.66,7.35,8.03
Clonard 2,95GG18S2,1936,1090,396,2,179,144,125,56.3,20.45,0.1,9.25,7.44,6.46
Crumlin 1 (Belfast LGD),95GG19S1,1695,645,478,0,127,174,271,38.05,28.2,0,7.49,10.27,15.99
Crumlin 2 (Belfast LGD),95GG19S2,1924,914,504,2,174,158,172,47.51,26.2,0.1,9.04,8.21,8.94
Duncairn 1,95GG20S1,2375,1300,527,8,164,220,156,54.74,22.19,0.34,6.91,9.26,6.57
Duncairn 2,95GG20S2,1617,704,476,4,112,160,161,43.54,29.44,0.25,6.93,9.89,9.96
Falls 1,95GG21S1,1212,639,257,0,129,70,117,52.72,21.2,0,10.64,5.78,9.65
Falls 2,95GG21S2,1305,744,240,1,119,90,111,57.01,18.39,0.08,9.12,6.9,8.51
Falls 3,95GG21S3,1617,913,288,0,169,129,118,56.46,17.81,0,10.45,7.98,7.3
Falls Park 1,95GG22S1,1393,603,515,0,104,55,116,43.29,36.97,0,7.47,3.95,8.33
Falls Park 2,95GG22S2,1620,610,650,3,80,76,201,37.65,40.12,0.19,4.94,4.69,12.41
Falls Park 3,95GG22S3,1387,577,523,0,108,72,107,41.6,37.71,0,7.79,5.19,7.71
Finaghy 1,95GG23S1,1160,308,715,0,28,42,67,26.55,61.64,0,2.41,3.62,5.78
Finaghy 2,95GG23S2,1269,429,653,0,27,31,129,33.81,51.46,0,2.13,2.44,10.17
Finaghy 3,95GG23S3,1337,441,678,4,41,58,115,32.98,50.71,0.3,3.07,4.34,8.6
Fortwilliam 1,95GG24S1,1186,466,463,0,30,67,160,39.29,39.04,0,2.53,5.65,13.49
Fortwilliam 2,95GG24S2,1279,499,532,1,65,90,92,39.01,41.59,0.08,5.08,7.04,7.19
Fortwilliam 3,95GG24S3,1291,456,589,4,44,67,131,35.32,45.62,0.31,3.41,5.19,10.15
Glen Road 1,95GG25S1,1742,738,621,0,97,101,185,42.37,35.65,0,5.57,5.8,10.62
Glen Road 2,95GG25S2,1509,685,515,2,91,91,125,45.39,34.13,0.13,6.03,6.03,8.28
Glen Road 3,95GG25S3,1232,575,371,0,87,80,119,46.67,30.11,0,7.06,6.49,9.66
Glencairn 1,95GG26S1,1560,658,543,0,130,108,121,42.18,34.81,0,8.33,6.92,7.76
Glencairn 2,95GG26S2,1430,525,504,2,103,117,179,36.71,35.24,0.14,7.2,8.18,12.52
Glencolin 1,95GG27S1,1150,509,429,0,83,54,75,44.26,37.3,0,7.22,4.7,6.52
Glencolin 2,95GG27S2,1207,565,371,1,127,67,76,46.81,30.74,0.08,10.52,5.55,6.3
Glencolin 3,95GG27S3,1413,637,462,0,115,106,93,45.08,32.7,0,8.14,7.5,6.58
Glencolin 4,95GG27S4,1287,573,381,3,101,103,126,44.52,29.6,0.23,7.85,8,9.79
Highfield 1,95GG28S1,1651,541,869,5,65,75,96,32.77,52.63,0.3,3.94,4.54,5.81
Highfield 2,95GG28S2,1393,490,647,1,56,93,106,35.18,46.45,0.07,4.02,6.68,7.61
Highfield 3,95GG28S3,1349,596,419,0,121,117,96,44.18,31.06,0,8.97,8.67,7.12
