SOA,SOA Code,All usual residents,General health: Very good health,General health: Good health,General health: Fair health,General health: Bad health,General health: Very bad health
Harryville,95DD18W1,1885,726,612,409,105,33
Kells 1,95DD19S1,1904,865,633,293,92,21
Kells 2,95DD19S2,1460,686,517,196,53,8
Moat,95DD20W1,1746,640,606,377,101,22
Park,95DD21W1,2139,957,828,282,60,12
Portglenone 1,95DD22S1,1555,772,500,212,56,15
Portglenone 2,95DD22S2,1581,705,549,247,60,20
Slemish,95DD23W1,2509,1266,838,327,64,14
Summerfield,95DD24W1,2711,1337,915,368,79,12
Ballyhoe and Corkey,95EE01W1,1895,975,599,251,56,14
Benvardin,95EE02W1,2095,961,728,305,88,13
Carnany,95EE03W1,1999,845,698,335,95,26
Clogh Mills,95EE04W1,1993,922,693,303,60,15
Dervock,95EE05W1,1509,672,514,260,52,11
Dunloy,95EE06W1,2278,1222,685,266,83,22
Fairhill,95EE07W1,1798,776,617,308,79,18
Glebe,95EE08W1,1719,718,602,279,97,23
Killoquin Lower,95EE09W1,1890,923,627,253,68,19
Killoquin Upper,95EE10W1,1797,932,604,191,47,23
Knockaholet,95EE11W1,1677,818,560,227,58,14
Newhill,95EE12W1,2507,1040,900,394,142,31
Route,95EE13W1,1529,612,498,313,87,19
Seacon,95EE14W1,2684,1302,883,358,123,18
Stranocum,95EE15W1,1728,840,574,233,66,15
The Vow,95EE16W1,2126,1047,684,307,66,22
Ballydown 1,95FF01S1,2129,1086,693,258,63,29
Ballydown 2,95FF01S2,2667,1520,792,271,70,14
Ballyward,95FF02W1,2817,1571,802,335,87,22
Banbridge West,95FF03W1,3006,1372,1073,408,130,23
Bannside,95FF04W1,2629,1428,749,361,67,24
Dromore North,95FF05W1,2563,1169,865,384,115,30
Dromore South 1,95FF06S1,2036,1017,650,293,67,9
Dromore South 2,95FF06S2,2080,1167,670,182,48,13
Edenderry,95FF07W1,2769,1265,841,445,170,48
Fort,95FF08W1,2364,1049,754,410,119,32
Gilford,95FF09W1,2522,1145,777,428,135,37
Gransha,95FF10W1,3473,1845,1079,433,90,26
Katesbridge,95FF11W1,2582,1403,756,313,90,20
Lawrencetown,95FF12W1,2724,1353,838,382,122,29
Loughbrickland,95FF13W1,2708,1365,856,333,117,37
Quilly,95FF14W1,2432,1258,776,307,68,23
Rathfriland,95FF15W1,2740,1201,904,451,156,28
Seapatrick,95FF16W1,2374,1096,827,338,85,28
The Cut,95FF17W1,1724,722,542,337,101,22
Andersonstown 1,95GG01S1,1768,682,521,344,170,51
Andersonstown 2,95GG01S2,1523,577,411,344,150,41
Andersonstown 3,95GG01S3,1616,712,445,292,126,41
Ardoyne 1,95GG02S1,1745,709,483,312,181,60
Ardoyne 2,95GG02S2,2018,821,568,383,194,52
Ardoyne 3,95GG02S3,2224,897,582,419,260,66
Ballyhackamore 1,95GG03S1,2003,1054,621,263,50,15
Ballyhackamore 2,95GG03S2,1833,912,620,240,45,16
Ballyhackamore 3,95GG03S3,2103,954,732,297,100,20
Ballymacarrett 1,95GG04S1,1708,706,474,321,157,50
Ballymacarrett 2,95GG04S2,1564,670,447,265,142,40
Ballymacarrett 3,95GG04S3,1636,577,500,357,147,55
Ballynafeigh 1,95GG05S1,1813,917,578,226,70,22
Ballynafeigh 2,95GG05S2,2009,1047,688,206,51,17
Ballynafeigh 3,95GG05S3,2106,940,761,299,87,19
Ballysillan 1,95GG06S1,1925,728,652,363,144,38
Ballysillan 2,95GG06S2,1779,682,602,338,129,28
Ballysillan 3,95GG06S3,1922,865,651,294,94,18
Beechmount 1,95GG07S1,1862,824,528,326,146,38
Beechmount 2,95GG07S2,1922,809,578,346,140,49
Beechmount 3,95GG07S3,1701,724,501,292,136,48
Bellevue 1,95GG08S1,1394,686,416,215,64,13
Bellevue 2,95GG08S2,1730,721,529,334,117,29
Bellevue 3,95GG08S3,1786,833,568,283,78,24
Belmont 1,95GG09S1,2151,1149,652,297,42,11
Belmont 2,95GG09S2,1896,823,660,295,91,27
Belmont 3,95GG09S3,2118,859,715,371,138,35
Blackstaff 1,95GG10S1,1826,732,608,310,134,42
Blackstaff 2,95GG10S2,2172,917,692,400,128,35
Bloomfield 1 (Belfast LGD),95GG11S1,1895,713,642,385,127,28
Bloomfield 2 (Belfast LGD),95GG11S2,1687,840,552,217,61,17
Bloomfield 3 (Belfast LGD),95GG11S3,1871,732,686,316,116,21
Botanic 1,95GG12S1,1555,934,521,80,16,4
Botanic 2,95GG12S2,1958,1189,562,157,44,6
Botanic 3,95GG12S3,1488,855,485,102,38,8
Botanic 4,95GG12S4,1703,920,567,164,40,12
Botanic 5,95GG12S5,2241,1054,674,341,138,34
Castleview 1,95GG13S1,1333,536,438,259,77,23
Castleview 2,95GG13S2,1752,914,534,213,68,23
Castleview 3,95GG13S3,1637,672,505,312,113,35
Cavehill 1,95GG14S1,1617,897,474,195,42,9
Cavehill 2,95GG14S2,1597,920,462,165,38,12
Cavehill 3,95GG14S3,1606,827,536,187,45,11
Cherryvalley 1,95GG15S1,1959,973,594,331,55,6
Cherryvalley 2,95GG15S2,2052,1071,684,240,46,11
Cherryvalley 3,95GG15S3,1909,812,592,370,109,26
Chichester Park 1,95GG16S1,1996,885,618,341,115,37
Chichester Park 2,95GG16S2,1970,953,602,289,96,30
Chichester Park 3,95GG16S3,1486,705,489,209,73,10
Cliftonville 1,95GG17S1,2031,929,617,352,100,33
Cliftonville 2,95GG17S2,1595,696,503,270,100,26
Cliftonville 3,95GG17S3,1704,695,496,329,150,34
Clonard 1,95GG18S1,2553,1083,687,473,229,81
Clonard 2,95GG18S2,2422,1018,683,399,243,79
Crumlin 1 (Belfast LGD),95GG19S1,2019,525,546,570,288,90
Crumlin 2 (Belfast LGD),95GG19S2,2563,938,754,508,281,82
Duncairn 1,95GG20S1,2807,1086,864,559,239,59
Duncairn 2,95GG20S2,2094,871,578,412,176,57
Falls 1,95GG21S1,1497,555,387,287,219,49
Falls 2,95GG21S2,1752,735,454,321,187,55
Falls 3,95GG21S3,1935,721,552,362,227,73
Falls Park 1,95GG22S1,1687,776,489,282,103,37
Falls Park 2,95GG22S2,1935,755,574,412,152,42
Falls Park 3,95GG22S3,1721,758,463,336,120,44
Finaghy 1,95GG23S1,1418,738,462,166,42,10
Finaghy 2,95GG23S2,1552,850,418,187,72,25
Finaghy 3,95GG23S3,1585,763,546,217,50,9
Fortwilliam 1,95GG24S1,1388,562,473,258,72,23
Fortwilliam 2,95GG24S2,1540,609,543,272,91,25
Fortwilliam 3,95GG24S3,1633,846,456,240,64,27
Glen Road 1,95GG25S1,2158,972,586,374,180,46
Glen Road 2,95GG25S2,1839,809,519,317,152,42
Glen Road 3,95GG25S3,1576,730,447,248,105,46
Glencairn 1,95GG26S1,1995,758,631,378,166,62
Glencairn 2,95GG26S2,1754,621,545,386,173,29
Glencolin 1,95GG27S1,1548,797,457,190,72,32
Glencolin 2,95GG27S2,1614,756,442,236,142,38
Glencolin 3,95GG27S3,1705,686,523,306,151,39
Glencolin 4,95GG27S4,1631,628,443,324,164,72
Highfield 1,95GG28S1,2149,1001,680,337,99,32
Highfield 2,95GG28S2,1733,690,551,334,131,27
Highfield 3,95GG28S3,1769,689,543,368,133,36
Island 1,95GG29S1,2257,881,728,400,196,52
Island 2,95GG29S2,2757,1255,922,410,138,32
Knock 1,95GG30S1,1604,618,551,286,125,24
Knock 2,95GG30S2,1685,897,519,218,44,7
Knock 3,95GG30S3,1538,700,524,241,64,9
Ladybrook 1,95GG31S1,2227,1165,634,277,112,39
Ladybrook 2,95GG31S2,2032,854,612,343,182,41
Ladybrook 3,95GG31S3,2260,995,637,371,203,54
Legoniel 1,95GG32S1,3232,1636,885,446,202,63
Legoniel 2,95GG32S2,1553,613,490,298,115,37
Legoniel 3,95GG32S3,1624,666,537,299,92,30
Malone 1,95GG33S1,1951,1260,508,148,27,8
Malone 2,95GG33S2,1639,1048,399,140,47,5
Malone 3,95GG33S3,1965,1205,540,183,29,8
Musgrave 1,95GG34S1,1452,639,417,276,99,21
Musgrave 2,95GG34S2,1590,791,528,196,54,21
Musgrave 3,95GG34S3,1885,949,618,259,47,12
New Lodge 1,95GG35S1,1970,647,548,455,217,103
New Lodge 2,95GG35S2,1478,524,370,296,224,64
New Lodge 3,95GG35S3,1502,611,421,263,152,55
Orangefield 1,95GG36S1,1794,807,608,282,84,13
Orangefield 2,95GG36S2,1926,884,639,326,65,12
Orangefield 3,95GG36S3,1899,880,674,285,52,8
Ravenhill 1,95GG37S1,2082,1148,662,206,51,15
Ravenhill 2,95GG37S2,1826,887,583,292,52,12
Ravenhill 3,95GG37S3,2133,1118,675,256,69,15
Rosetta 1,95GG38S1,3099,1767,889,358,69,16
Rosetta 2,95GG38S2,1880,928,556,310,69,17
Rosetta 3,95GG38S3,1585,844,495,195,43,8
Shaftesbury 1,95GG39S1,2409,1094,678,383,185,69
Shaftesbury 2,95GG39S2,2711,1056,824,518,217,96
Shaftesbury 3,95GG39S3,2094,858,598,405,186,47
Shankill 1,95GG40S1,1697,617,478,355,187,60
Shankill 2,95GG40S2,2119,678,601,497,252,91
Stormont 1,95GG41S1,1926,995,634,232,45,20
Stormont 2,95GG41S2,1524,827,509,151,25,12
Stormont 3,95GG41S3,2098,1082,623,282,82,29
Stranmillis 1,95GG42S1,1826,1088,543,159,26,10
Stranmillis 2,95GG42S2,1784,1157,494,118,11,4
Stranmillis 3,95GG42S3,2261,1476,646,123,11,5
Stranmillis 4,95GG42S4,2268,1382,667,181,26,12
Sydenham 1,95GG43S1,1480,564,452,316,110,38
Sydenham 2,95GG43S2,1670,709,595,257,88,21
Sydenham 3,95GG43S3,1724,743,595,280,80,26
The Mount 1,95GG44S1,2864,1095,933,559,230,47
The Mount 2,95GG44S2,2727,1123,838,507,195,64
Upper Malone 1,95GG45S1,1670,943,496,195,26,10
Upper Malone 2,95GG45S2,1554,597,457,333,125,42
Upper Malone 3,95GG45S3,1617,794,512,227,71,13
Upper Springfield 1,95GG46S1,1712,704,449,322,167,70
Upper Springfield 2,95GG46S2,1874,815,472,340,194,53
Upper Springfield 3,95GG46S3,1664,645,445,333,185,56
Water Works 1,95GG47S1,2314,899,691,430,221,73
Water Works 2,95GG47S2,1717,677,492,332,156,60
Water Works 3,95GG47S3,1798,742,561,312,149,34
Whiterock 1,95GG48S1,1615,720,412,278,143,62
Whiterock 2,95GG48S2,2411,1054,574,418,275,90
Whiterock 3,95GG48S3,1668,722,386,295,189,76
Windsor 1,95GG49S1,1662,1024,423,151,54,10
Windsor 2,95GG49S2,2270,1286,735,199,35,15
Windsor 3,95GG49S3,2142,1321,590,182,44,5
Windsor 4,95GG49S4,2067,1108,674,206,65,14
Woodstock 1,95GG50S1,1499,584,554,245,92,24
Woodstock 2,95GG50S2,2061,833,683,380,121,44
Woodstock 3,95GG50S3,1885,723,695,330,106,31
Woodvale 1,95GG51S1,1353,476,378,327,138,34
Woodvale 2,95GG51S2,1399,441,414,342,149,53
Woodvale 3,95GG51S3,1336,417,411,287,159,62
Blackhead,95HH01W1,2059,848,752,338,105,16
Bluefield 1,95HH02S1,1358,652,474,188,38,6
Bluefield 2,95HH02S2,1604,852,540,156,49,7
Boneybefore,95HH03W1,1663,691,611,285,68,8
Burleigh Hill 1,95HH04S1,1709,803,565,261,57,23
Burleigh Hill 2,95HH04S2,1358,643,469,193,42,11
Clipperstown,95HH05W1,2171,951,742,319,122,37
Eden 1,95HH06S1,2231,1215,737,219,41,19
Eden 2,95HH06S2,2566,1294,871,299,79,23
Gortalee,95HH07W1,1493,581,508,280,94,30
Greenisland,95HH08W1,2619,1262,849,403,86,19
Killycrot,95HH09W1,2620,870,968,586,168,28
Knockagh,95HH10W1,2489,1396,756,260,67,10
Love Lane,95HH11W1,1417,522,471,310,90,24
Milebush,95HH12W1,1552,622,589,241,92,8
Northland,95HH13W1,1407,517,492,259,115,24
Sunnylands,95HH14W1,1530,490,519,364,122,35
Victoria (Carrickfergus LGD),95HH15W1,2630,1177,857,443,123,30
Whitehead,95HH16W1,2159,1029,726,325,69,10
Woodburn,95HH17W1,2479,1281,787,330,62,19
Ballyhanwood 1,95II01S1,1550,743,508,229,58,12
Ballyhanwood 2,95II01S2,1534,769,487,240,35,3
Beechill 1,95II02S1,1781,1017,435,226,93,10
Beechill 2,95II02S2,1700,886,542,191,67,14
Beechill 3,95II02S3,1480,592,458,293,114,23
Cairnshill 1,95II03S1,1739,1083,507,114,29,6
Cairnshill 2,95II03S2,1784,983,564,191,36,10
Carrowreagh 1,95II04S1,2352,1246,743,252,93,18
Carrowreagh 2,95II04S2,1965,860,613,371,96,25
Carryduff East 1,95II05S1,1634,844,541,196,43,10
Carryduff East 2,95II05S2,1912,898,592,327,72,23
Carryduff West 1,95II06S1,1519,865,451,152,38,13
Carryduff West 2,95II06S2,1879,1036,611,170,49,13
Cregagh,95II07W1,2090,811,653,435,153,38
Downshire,95II08W1,2417,1042,854,392,109,20
Dundonald 1,95II09S1,1950,924,685,265,60,16
Dundonald 2,95II09S2,1413,674,506,176,45,12
Enler,95II10W1,2592,979,869,495,188,61
Galwally,95II11W1,2567,1351,820,307,71,18
Gilnahirk,95II12W1,2512,1252,835,331,75,19
Graham's Bridge,95II13W1,2702,1116,866,532,145,43
Hillfoot,95II14W1,2561,1315,849,319,64,14
Knockbracken 1,95II15S1,1793,1089,531,146,19,8
Knockbracken 2,95II15S2,1564,814,486,210,41,13
Lisnasharragh,95II16W1,2126,859,719,391,128,29
Lower Braniel,95II17W1,2493,1038,837,442,133,43
Minnowburn,95II18W1,2226,786,778,461,159,42
Moneyreagh 1,95II19S1,1826,972,619,186,39,10
Moneyreagh 2,95II19S2,1944,878,670,301,74,21
Newtownbreda,95II20W1,2780,1341,955,375,92,17
Tullycarnet,95II21W1,2419,934,868,435,128,54
Upper Braniel,95II22W1,2248,928,803,392,102,23
Wynchurch,95II23W1,2190,1062,708,316,87,17
Agivey,95JJ01W1,2499,1247,831,328,83,10
Atlantic,95JJ02W1,2374,1068,847,358,87,14
Ballysally 1,95JJ03S1,1406,594,474,258,60,20
Ballysally 2,95JJ03S2,1064,485,350,166,49,14
Castlerock 1,95JJ04S1,1546,737,541,212,47,9
Castlerock 2,95JJ04S2,1565,721,573,212,48,11
Central (Coleraine LGD),95JJ05W1,1835,639,631,416,117,32
Churchland,95JJ06W1,2472,980,878,423,140,51
Cross Glebe,95JJ07W1,2665,1118,875,467,164,41
Dundooan 1,95JJ08S1,1377,630,460,224,52,11
Dundooan 2,95JJ08S2,1899,1022,639,176,49,13
Dunluce,95JJ09W1,1990,906,688,334,46,16
Garvagh,95JJ10W1,2795,1242,1008,427,101,17
Hopefield 1,95JJ11S1,1821,893,623,238,53,14
Hopefield 2,95JJ11S2,1949,940,676,269,50,14
Kilrea,95JJ12W1,2724,1338,854,405,105,22
Knocklynn 1,95JJ13S1,2144,1099,743,237,53,12
Knocklynn 2,95JJ13S2,1751,887,587,230,38,9
Macosquin,95JJ14W1,2325,1104,797,338,64,22
Mount Sandel,95JJ15W1,1879,791,687,319,73,9
Portstewart,95JJ16W1,1799,718,573,362,119,27
Ringsend,95JJ17W1,2455,1234,787,344,73,17
Royal Portrush,95JJ18W1,2032,859,675,381,89,28
Strand 1 (Coleraine LGD),95JJ19S1,1690,818,594,210,62,6
Strand 2 (Coleraine LGD),95JJ19S2,1252,689,394,137,27,5
The Cuts 1,95JJ20S1,2173,1105,757,238,61,12
The Cuts 2,95JJ20S2,1919,889,670,279,68,13
University,95JJ21W1,2873,1261,1000,462,117,33
Waterside,95JJ22W1,2794,1422,932,369,57,14
Ardboe,95KK01W1,2578,1255,702,396,164,61
Coagh,95KK02W1,2029,831,710,365,101,22
Dunnamore,95KK03W1,2357,1150,746,302,127,32
Gortalowry,95KK04W1,2787,1366,866,411,117,27
Killycolpy,95KK05W1,2616,1288,799,362,129,38
Killymoon,95KK06W1,1885,784,601,383,94,23
Lissan,95KK07W1,2045,957,690,312,64,22
Moneymore,95KK08W1,2646,1286,809,416,103,32
Newbuildings,95KK09W1,2187,854,748,436,115,34
Oaklands,95KK10W1,2181,1115,698,292,59,17
Oldtown,95KK11W1,2373,959,796,423,145,50
Pomeroy,95KK12W1,2309,1166,676,353,91,23
Sandholes,95KK13W1,1817,890,546,303,63,15
Stewartstown,95KK14W1,2041,966,594,328,122,31
The Loop,95KK15W1,2946,1545,917,367,87,30
Tullagh,95KK16W1,2216,936,715,435,111,19
Aghagallon 1,95LL01S1,2488,1294,753,329,84,28
Aghagallon 2,95LL01S2,2443,1352,711,286,79,15
Annagh 1,95LL02S1,1612,852,491,200,54,15
Annagh 2,95LL02S2,1430,521,510,279,93,27
Ballybay,95LL03W1,2436,951,845,465,143,32
Ballyoran,95LL04W1,2985,1361,919,487,177,41
Bleary 1,95LL05S1,2383,1291,739,287,55,11
Bleary 2,95LL05S2,1736,852,545,235,83,21
Brownstown 1,95LL06S1,1654,750,619,228,44,13
Brownstown 2,95LL06S2,1718,599,645,355,95,24
Church,95LL07W1,2131,748,731,491,135,26
Corcrain 1,95LL08S1,1649,769,496,281,88,15
Corcrain 2,95LL08S2,1671,653,588,280,119,31
Court 1,95LL09S1,1467,546,476,273,135,37
Court 2,95LL09S2,1683,582,477,422,155,47
Derrytrasna 1,95LL10S1,3074,1651,889,375,128,31
Derrytrasna 2,95LL10S2,2401,1272,725,311,71,22
Donaghcloney 1,95LL11S1,1538,786,462,229,52,9
Donaghcloney 2,95LL11S2,2451,1382,745,233,68,23
Drumgask 1,95LL12S1,2929,1451,881,400,154,43
Drumgask 2,95LL12S2,1283,531,369,252,102,29
Drumgor 1,95LL13S1,1401,612,466,225,73,25
Drumgor 2,95LL13S2,1344,537,435,226,117,29
Drumnamoe 1,95LL14S1,1270,478,339,264,147,42
Drumnamoe 2,95LL14S2,1381,599,413,266,83,20
Edenderry 1,95LL15S1,1449,622,474,265,66,22
Edenderry 2,95LL15S2,1599,645,550,294,88,22
Kernan 1,95LL16S1,2791,1488,841,346,93,23
Kernan 2,95LL16S2,3316,1674,1128,386,92,36
Killycomain,95LL17W1,2539,1096,868,441,107,27
Knocknashane 1,95LL18S1,1974,898,654,307,93,22
Knocknashane 2,95LL18S2,1377,654,483,183,47,10
Magheralin 1,95LL19S1,2283,1170,722,287,89,15
Magheralin 2,95LL19S2,2865,1545,838,380,82,20
Mourneview,95LL20W1,2401,1011,806,410,140,34
Parklake,95LL21W1,3983,1865,1308,617,158,35
Taghnevan,95LL22W1,3728,1751,1229,506,194,48
Tavanagh,95LL23W1,2157,809,725,430,145,48
The Birches 1,95LL24S1,2027,1050,662,249,54,12
The Birches 2,95LL24S2,1742,867,549,223,81,22
Waringstown 1,95LL25S1,2583,1451,776,287,61,8
Waringstown 2,95LL25S2,1953,1047,626,206,58,16
Woodville 1,95LL26S1,1519,563,487,320,123,26
Woodville 2,95LL26S2,2179,1212,628,243,81,15
Altnagelvin 1,95MM01S1,1471,592,443,283,132,21
Altnagelvin 2,95MM01S2,1777,968,550,209,40,10
Altnagelvin 3,95MM01S3,1614,799,505,234,64,12
Ballynashallog 1,95MM02S1,1559,743,473,246,68,29
Ballynashallog 2,95MM02S2,1685,1015,467,143,47,13
Banagher,95MM03W1,3508,1847,1047,475,106,33
Beechwood,95MM04W1,2151,923,566,415,179,68
Brandywell,95MM05W1,2495,1020,649,493,245,88
Carn Hill 1,95MM06S1,1376,624,388,262,79,23
Carn Hill 2,95MM06S2,1227,470,394,240,101,22
Caw,95MM07W1,2601,1058,844,523,148,28
Clondermot 1,95MM08S1,1291,525,395,247,98,26
Clondermot 2,95MM08S2,1656,771,522,269,71,23
Claudy 1,95MM09S1,1588,838,485,189,61,15
Claudy 2,95MM09S2,1974,1039,548,288,80,19
Creggan Central 1,95MM10S1,1456,680,420,210,106,40
Creggan Central 2,95MM10S2,1294,571,371,212,112,28
Creggan South,95MM11W1,2277,1013,605,388,195,76
Crevagh 1,95MM12S1,2022,1037,591,266,99,29
Crevagh 2,95MM12S2,1298,625,350,202,84,37
Crevagh 3,95MM12S3,2538,1353,730,303,117,35
Culmore 1,95MM13S1,1205,668,336,160,31,10
Culmore 2,95MM13S2,1236,561,281,244,107,43
Culmore 3,95MM13S3,1569,810,420,213,83,43
Culmore 4,95MM13S4,2553,1407,664,329,121,32
Culmore 5,95MM13S5,2309,1510,583,165,40,11
Ebrington 1,95MM14S1,833,328,250,196,45,14
Ebrington 2,95MM14S2,1736,732,537,316,118,33
Eglinton 1,95MM15S1,1753,810,571,264,86,22
Eglinton 2,95MM15S2,2648,1528,717,289,93,21
Enagh 1 (Derry LGD),95MM16S1,2407,1220,706,331,127,23
Enagh 2 (Derry LGD),95MM16S2,3338,1974,884,338,115,27
Foyle Springs 1,95MM17S1,1962,1116,578,194,61,13
Foyle Springs 2,95MM17S2,1787,802,533,301,121,30
Holly Mount 1,95MM18S1,2241,1150,663,321,89,18
Holly Mount 2,95MM18S2,2939,1643,867,293,107,29
Kilfennan 1,95MM19S1,1558,671,548,271,59,9
Kilfennan 2,95MM19S2,1486,690,538,210,42,6
